Session,Outcome,Type,Case,Study
9,84,INT,JoseNDW,MillerA
10,69,INT,JoseNDW,MillerA
11,71,INT,JoseNDW,MillerA
12,53,INT,JoseNDW,MillerA
13,93,INT,JoseNDW,MillerA
14,68,INT,JoseNDW,MillerA
15,66,INT,JoseNDW,MillerA
16,65,INT,JoseNDW,MillerA
17,55,INT,JoseNDW,MillerA
18,45,INT,JoseNDW,MillerA
19,76,INT,JoseNDW,MillerA
20,87,INT,JoseNDW,MillerA
21,60,INT,JoseNDW,MillerA
22,53,INT,JoseNDW,MillerA
23,86,INT,JoseNDW,MillerA
24,82,INT,JoseNDW,MillerA
25,60,INT,JoseNDW,MillerA
26,90,INT,JoseNDW,MillerA
27,68,INT,JoseNDW,MillerA
28,62,INT,JoseNDW,MillerA
29,86,INT,JoseNDW,MillerA
30,74,INT,JoseNDW,MillerA
31,60,INT,JoseNDW,MillerA
32,85,INT,JoseNDW,MillerA
33,103,INT,JoseNDW,MillerA
34,85,INT,JoseNDW,MillerA
35,74,INT,JoseNDW,MillerA
36,79,INT,JoseNDW,MillerA
37,61,INT,JoseNDW,MillerA
38,54,INT,JoseNDW,MillerA
1,88,BL,ArmandoNDW,MillerA
2,112,BL,ArmandoNDW,MillerA
3,101,BL,ArmandoNDW,MillerA
4,91,BL,ArmandoNDW,MillerA
5,84,BL,ArmandoNDW,MillerA
6,101,BL,ArmandoNDW,MillerA
7,117,BL,ArmandoNDW,MillerA
8,131,INT,ArmandoNDW,MillerA
9,126,INT,ArmandoNDW,MillerA
10,153,INT,ArmandoNDW,MillerA
11,102,INT,ArmandoNDW,MillerA
12,114,INT,ArmandoNDW,MillerA
13,107,INT,ArmandoNDW,MillerA
14,75,INT,ArmandoNDW,MillerA
15,124,INT,ArmandoNDW,MillerA
16,105,INT,ArmandoNDW,MillerA
17,65,INT,ArmandoNDW,MillerA
18,82,INT,ArmandoNDW,MillerA
19,53,INT,ArmandoNDW,MillerA
20,87,INT,ArmandoNDW,MillerA
21,75,INT,ArmandoNDW,MillerA
22,82,INT,ArmandoNDW,MillerA
23,94,INT,ArmandoNDW,MillerA
24,84,INT,ArmandoNDW,MillerA
25,75,INT,ArmandoNDW,MillerA
26,113,INT,ArmandoNDW,MillerA
27,92,INT,ArmandoNDW,MillerA
28,104,INT,ArmandoNDW,MillerA
29,84,INT,ArmandoNDW,MillerA
30,84,INT,ArmandoNDW,MillerA
1,85,BL,ErlinaNDW,MillerA
2,73,BL,ErlinaNDW,MillerA
3,111,BL,ErlinaNDW,MillerA
4,75,BL,ErlinaNDW,MillerA
5,71,BL,ErlinaNDW,MillerA
6,53,BL,ErlinaNDW,MillerA
7,57,BL,ErlinaNDW,MillerA
8,71,BL,ErlinaNDW,MillerA
9,59,INT,ErlinaNDW,MillerA
10,68,INT,ErlinaNDW,MillerA
11,106,INT,ErlinaNDW,MillerA
12,101,INT,ErlinaNDW,MillerA
13,112,INT,ErlinaNDW,MillerA
14,76,INT,ErlinaNDW,MillerA
15,120,INT,ErlinaNDW,MillerA
16,75,INT,ErlinaNDW,MillerA
17,89,INT,ErlinaNDW,MillerA
18,101,INT,ErlinaNDW,MillerA
19,77,INT,ErlinaNDW,MillerA
20,86,INT,ErlinaNDW,MillerA
21,126,INT,ErlinaNDW,MillerA
22,85,INT,ErlinaNDW,MillerA
1,40,BL,EvaNDW,MillerA
2,40,BL,EvaNDW,MillerA
3,55,BL,EvaNDW,MillerA
4,63,BL,EvaNDW,MillerA
5,50,BL,EvaNDW,MillerA
6,67,BL,EvaNDW,MillerA
7,51,BL,EvaNDW,MillerA
8,41,BL,EvaNDW,MillerA
9,55,BL,EvaNDW,MillerA
10,66,INT,EvaNDW,MillerA
11,51,INT,EvaNDW,MillerA
12,76,INT,EvaNDW,MillerA
13,47,INT,EvaNDW,MillerA
14,56,INT,EvaNDW,MillerA
15,74,INT,EvaNDW,MillerA
16,55,INT,EvaNDW,MillerA
17,53,INT,EvaNDW,MillerA
1,7,BL,JoseMLU,MillerA
2,8,BL,JoseMLU,MillerA
3,6,BL,JoseMLU,MillerA
4,7,BL,JoseMLU,MillerA
5,6,BL,JoseMLU,MillerA
6,6,BL,JoseMLU,MillerA
7,6,INT,JoseMLU,MillerA
8,6,INT,JoseMLU,MillerA
9,7,INT,JoseMLU,MillerA
10,10,INT,JoseMLU,MillerA
11,7,INT,JoseMLU,MillerA
12,7,INT,JoseMLU,MillerA
13,6,INT,JoseMLU,MillerA
14,6,INT,JoseMLU,MillerA
15,8,INT,JoseMLU,MillerA
16,7,INT,JoseMLU,MillerA
17,5,INT,JoseMLU,MillerA
18,7,INT,JoseMLU,MillerA
19,9,INT,JoseMLU,MillerA
20,7,INT,JoseMLU,MillerA
21,7,INT,JoseMLU,MillerA
22,5,INT,JoseMLU,MillerA
23,7,INT,JoseMLU,MillerA
24,8,INT,JoseMLU,MillerA
25,8,INT,JoseMLU,MillerA
26,7,INT,JoseMLU,MillerA
27,7,INT,JoseMLU,MillerA
28,10,INT,JoseMLU,MillerA
29,9,INT,JoseMLU,MillerA
30,7,INT,JoseMLU,MillerA
31,8,INT,JoseMLU,MillerA
32,7,INT,JoseMLU,MillerA
33,8,INT,JoseMLU,MillerA
34,7,INT,JoseMLU,MillerA
35,9,INT,JoseMLU,MillerA
36,7,INT,JoseMLU,MillerA
37,6,INT,JoseMLU,MillerA
38,8,INT,JoseMLU,MillerA
1,8,BL,ArmandoMLU,MillerA
2,8,BL,ArmandoMLU,MillerA
3,7,BL,ArmandoMLU,MillerA
4,7,BL,ArmandoMLU,MillerA
5,7,BL,ArmandoMLU,MillerA
6,6,BL,ArmandoMLU,MillerA
7,7,BL,ArmandoMLU,MillerA
8,7,INT,ArmandoMLU,MillerA
9,8,INT,ArmandoMLU,MillerA
10,9,INT,ArmandoMLU,MillerA
11,9,INT,ArmandoMLU,MillerA
12,7,INT,ArmandoMLU,MillerA
13,8,INT,ArmandoMLU,MillerA
14,8,INT,ArmandoMLU,MillerA
15,8,INT,ArmandoMLU,MillerA
16,8,INT,ArmandoMLU,MillerA
17,9,INT,ArmandoMLU,MillerA
18,9,INT,ArmandoMLU,MillerA
19,7,INT,ArmandoMLU,MillerA
20,8,INT,ArmandoMLU,MillerA
21,7,INT,ArmandoMLU,MillerA
22,7,INT,ArmandoMLU,MillerA
23,8,INT,ArmandoMLU,MillerA
24,7,INT,ArmandoMLU,MillerA
25,9,INT,ArmandoMLU,MillerA
26,8,INT,ArmandoMLU,MillerA
27,9,INT,ArmandoMLU,MillerA
28,8,INT,ArmandoMLU,MillerA
29,7,INT,ArmandoMLU,MillerA
30,10,INT,ArmandoMLU,MillerA
1,7,BL,ErlinaMLU,MillerA
2,7,BL,ErlinaMLU,MillerA
3,7,BL,ErlinaMLU,MillerA
4,6,BL,ErlinaMLU,MillerA
5,6,BL,ErlinaMLU,MillerA
6,6,BL,ErlinaMLU,MillerA
7,7,BL,ErlinaMLU,MillerA
8,6,BL,ErlinaMLU,MillerA
9,9,INT,ErlinaMLU,MillerA
10,8,INT,ErlinaMLU,MillerA
11,8,INT,ErlinaMLU,MillerA
12,8,INT,ErlinaMLU,MillerA
13,7,INT,ErlinaMLU,MillerA
14,8,INT,ErlinaMLU,MillerA
15,9,INT,ErlinaMLU,MillerA
16,7,INT,ErlinaMLU,MillerA
17,8,INT,ErlinaMLU,MillerA
18,9,INT,ErlinaMLU,MillerA
19,8,INT,ErlinaMLU,MillerA
20,8,INT,ErlinaMLU,MillerA
21,7,INT,ErlinaMLU,MillerA
22,6,INT,ErlinaMLU,MillerA
1,4,BL,EvaMLU,MillerA
2,4,BL,EvaMLU,MillerA
3,6,BL,EvaMLU,MillerA
4,6,BL,EvaMLU,MillerA
5,7,BL,EvaMLU,MillerA
6,4,BL,EvaMLU,MillerA
